      Step     Time          Energy          fmax
BFGS:    0 00:03:33      -79.404560        1.742966
BFGS:    1 00:08:07      -79.437936        0.780727
BFGS:    2 00:12:07      -79.454222        0.143155
BFGS:    3 00:15:32      -79.455180        0.084015
BFGS:    4 00:18:08      -79.455605        0.051693
BFGS:    5 00:20:45      -79.455760        0.057680
BFGS:    6 00:24:05      -79.456146        0.046923
BFGS:    7 00:26:54      -79.456330        0.038737
BFGS:    8 00:29:06      -79.456375        0.010414
