      Step     Time          Energy          fmax
BFGS:    0 17:25:26      -50.666662        1.572879
BFGS:    1 17:33:06      -50.757273        0.902909
BFGS:    2 17:40:10      -50.886817        1.105684
BFGS:    3 17:48:45      -51.097805        1.638825
BFGS:    4 18:03:50      -51.235640        1.273356
BFGS:    5 18:15:00      -51.306116        0.452742
BFGS:    6 18:25:40      -51.314828        0.066140
BFGS:    7 18:31:56      -51.315175        0.014252
      Step     Time          Energy          fmax
BFGS:    0 11:52:58      -21.597899        1.213219
BFGS:    1 11:57:44      -21.614876        0.693813
BFGS:    2 12:01:20      -21.620213        0.155409
BFGS:    3 12:04:50      -21.621312        0.116551
BFGS:    4 12:07:11      -21.621879        0.039444
