      Step     Time          Energy          fmax
BFGS:    0 06:40:07     -152.506589        1.659228
BFGS:    1 06:53:07     -152.537029        0.739742
BFGS:    2 07:01:20     -152.551110        0.115468
BFGS:    3 07:08:15     -152.551901        0.070098
BFGS:    4 07:15:55     -152.552573        0.064375
BFGS:    5 07:20:37     -152.552984        0.083188
BFGS:    6 07:30:25     -152.551422        0.265022
BFGS:    7 07:40:18     -152.554328        0.102554
BFGS:    8 07:44:55     -152.554900        0.080414
BFGS:    9 07:52:21     -152.555904        0.068307
BFGS:   10 07:59:59     -152.556321        0.039504
BFGS:   11 08:07:37     -152.556567        0.024738
BFGS:   12 08:13:01     -152.556682        0.020634
BFGS:   13 08:18:25     -152.556723        0.007245
