Ez,bandgap_eV
0.000202,0.3160703212835769
0.000404,0.3160703212835769
0.000606,0.175656061304998
0.000808,0.175656061304998
0.001,0.175656061304998
0.00101,0.175656061304998
0.001212,0.175656061304998
0.001414,0.175656061304998
0.001616,0.39902126832719986
0.001818,0.39902126832719986
0.00202,0.39902126832719986
0.002222,0.39902126832719986
0.002424,0.39902126832719986
0.002626,0.5170557591862115
0.002828,0.5170557591862115
0.00303,0.5170557591862115
0.003232,0.5170557591862115
0.003333,0.5170557591862115
0.003434,0.5170557591862115
0.003636,0.6348236693965281
0.003838,0.6348236693965281
0.00404,0.6348236693965281
0.004242,0.6348236693965281
0.004444,0.6348236693965281
0.004646,0.7164610003879492
0.004848,0.7164610003879492
0.005051,0.7164610003879492
0.005253,0.7164610003879492
0.005455,0.7164610003879492
0.005657,0.7918249159197825
0.005859,0.7918249159197825
0.006061,0.7918249159197825
0.006263,0.7918249159197825
0.006465,0.7918249159197825
0.006667,0.8076466689509463
0.006667,0.8076466689509463
0.006869,0.8076466689509463
0.007071,0.8076466689509463
0.007273,0.8076466689509463
0.007475,0.8076466689509463
0.007677,0.9346258525301929
0.007879,0.9346258525301929
0.008081,0.9346258525301929
0.008283,0.9346258525301929
0.008485,0.9346258525301929
0.008687,1.0006489801183847
0.008889,1.0006489801183847
0.009091,1.0006489801183847
0.009293,1.0006489801183847
0.009495,1.0006489801183847
0.009697,1.0377601890919492
0.009899,1.0377601890919492
0.01,1.0377601890919492
0.010101,1.0377601890919492
0.010303,1.0377601890919492
0.010505,1.114527231670608
0.010707,1.114527231670608
0.010909,1.114527231670608
0.011,1.114527231670608
0.011111,1.114527231670608
0.011313,1.114527231670608
0.012,1.185551308105029
0.013,1.271058123446836
0.013333,1.271058123446836
0.014,1.3070079057679085
0.016,1.4109633437424562
0.016667,1.438647759373175
0.017,1.438647759373175
0.018,1.491919075319617
0.019,1.5243530853200289
0.02,1.5566148611511634
0.023333,1.571021815224497
0.026667,1.3980995706465562
0.03,9.2752512229198
0.033333,9.54390958993994
0.036667,9.690485593052365
0.04,9.79267078142672
0.043333,9.875712181282935
0.046667,9.9956148777209
0.05,10.05402990558717
0.053333,10.060228645499022
0.056667,10.044372041742685
