      Step     Time          Energy          fmax
BFGS:    0 17:57:56      -30.301582       17.502799
BFGS:    1 17:59:10      -38.040473       14.306209
BFGS:    2 18:00:33      -43.266879        6.553599
BFGS:    3 18:02:11      -44.190373        4.110185
      Step     Time          Energy          fmax
BFGS:    0 18:03:56      -15.938673       16.621822
      Step     Time          Energy          fmax
BFGS:    0 18:09:30      -15.938673       16.621822
BFGS:    1 18:10:00      -22.093815       12.338590
BFGS:    2 18:10:19      -26.963765        7.212389
      Step     Time          Energy          fmax
BFGS:    0 21:54:49      -15.938674       16.626804
BFGS:    1 21:55:14      -22.093651       12.343868
BFGS:    2 21:55:32      -26.962149        7.217754
BFGS:    3 21:55:56      -28.064399        4.447089
BFGS:    4 21:56:23      -28.403425        2.511530
BFGS:    5 21:56:45      -28.759993        1.724931
BFGS:    6 21:57:07      -29.087566        1.607297
BFGS:    7 21:57:30      -29.236855        0.898937
BFGS:    8 21:57:44      -29.321418        0.181538
BFGS:    9 21:58:04      -29.354107        0.266756
      Step     Time          Energy          fmax
BFGS:    0 22:04:10      -15.938673       16.621822
BFGS:    1 22:04:40      -22.093815       12.338590
BFGS:    2 22:04:59      -26.963765        7.212389
      Step     Time          Energy          fmax
BFGS:    0 22:08:30      -15.938026       16.625655
BFGS:    1 22:08:53      -22.092512       12.331827
BFGS:    2 22:09:13      -26.963183        7.209317
BFGS:    3 22:09:39      -28.061495        4.444490
BFGS:    4 22:10:00      -28.401279        2.506981
BFGS:    5 22:10:21      -28.755839        1.725224
BFGS:    6 22:10:44      -29.084286        1.604122
BFGS:    7 22:11:04      -29.234173        0.859654
BFGS:    8 22:11:19      -29.319890        0.170576
BFGS:    9 22:11:35      -29.353613        0.274920
BFGS:   10 22:11:55      -29.383697        0.392944
BFGS:   11 22:12:16      -29.428404        0.678298
BFGS:   12 22:12:29      -29.430939        0.246230
BFGS:   13 22:12:42      -29.432819        0.317820
BFGS:   14 22:12:55      -29.433841        0.241469
BFGS:   15 22:13:04      -29.434319        0.029756
BFGS:   16 22:13:12      -29.434334        0.004649
      Step     Time          Energy          fmax
BFGS:    0 22:35:46      -15.938026       16.625655
BFGS:    1 22:36:10      -22.092512       12.331827
BFGS:    2 22:36:34      -26.963183        7.209317
BFGS:    3 22:37:03      -28.061495        4.444490
BFGS:    4 22:37:25      -28.401279        2.506981
BFGS:    5 22:37:45      -28.755839        1.725224
BFGS:    6 22:38:06      -29.084286        1.604122
BFGS:    7 22:38:30      -29.234173        0.859654
BFGS:    8 22:38:46      -29.319890        0.170576
BFGS:    9 22:39:02      -29.353613        0.274920
BFGS:   10 22:39:26      -29.383697        0.392944
BFGS:   11 22:39:50      -29.428404        0.678298
BFGS:   12 22:40:03      -29.430939        0.246230
BFGS:   13 22:40:17      -29.432819        0.317820
BFGS:   14 22:40:31      -29.433841        0.241469
BFGS:   15 22:40:39      -29.434319        0.029756
BFGS:   16 22:40:49      -29.434334        0.004649
      Step     Time          Energy          fmax
BFGS:    0 22:53:25      -26.121867        7.503399
BFGS:    1 22:53:51      -27.414168        2.053818
BFGS:    2 22:54:16      -27.684139        1.744044
BFGS:    3 22:54:44      -27.977496        1.295984
BFGS:    4 22:55:22      -28.441379        1.640250
BFGS:    5 22:55:54      -29.727659        1.972439
BFGS:    6 22:56:22      -30.204350        2.464106
BFGS:    7 22:56:43      -31.038335        0.970049
BFGS:    8 22:57:04      -31.389617        0.584564
BFGS:    9 22:57:26      -31.593233        0.311318
BFGS:   10 22:57:44      -31.716522        0.198120
BFGS:   11 22:58:02      -31.775963        0.102019
BFGS:   12 22:58:15      -31.781313        0.214878
BFGS:   13 22:58:35      -31.785432        0.588590
BFGS:   14 22:58:52      -31.793868        1.510919
BFGS:   15 22:59:12      -31.813229        1.471183
BFGS:   16 22:59:33      -31.846942        1.191740
BFGS:   17 22:59:53      -31.864969        1.003009
BFGS:   18 23:00:08      -31.871432        0.415178
BFGS:   19 23:00:19      -31.873328        0.139579
BFGS:   20 23:00:31      -31.873668        0.043377
BFGS:   21 23:00:38      -31.873811        0.054748
BFGS:   22 23:00:48      -31.875236        0.129442
BFGS:   23 23:01:02      -31.876718        0.210288
BFGS:   24 23:01:15      -31.877674        0.140734
BFGS:   25 23:01:28      -31.878231        0.053264
BFGS:   26 23:01:41      -31.878460        0.008861
