Ez,bandgap_eV
0.0,0.14387847183205427
0.000202,0.14387847183205427
0.000404,0.14387847183205427
0.000606,0.18470846357240278
0.000808,0.18470846357240278
0.00101,0.18470846357240278
0.001212,0.18470846357240278
0.001414,0.18470846357240278
0.001616,0.2377238370699264
0.001818,0.2377238370699264
0.002,0.2377238370699264
0.00202,0.2377238370699264
0.002222,0.2377238370699264
0.002424,0.2377238370699264
0.0025,0.25278599315456285
0.002626,0.25278599315456285
0.002828,0.25278599315456285
0.00303,0.25278599315456285
0.003232,0.25278599315456285
0.003434,0.25278599315456285
0.003636,0.260688124838246
0.003838,0.260688124838246
0.00404,0.260688124838246
0.004242,0.260688124838246
0.004444,0.260688124838246
0.004646,0.27031269480445874
0.004848,0.27031269480445874
0.005,0.27031269480445874
0.005051,0.27031269480445874
0.005253,0.27031269480445874
0.005455,0.27031269480445874
0.005657,0.26716898120101007
0.005859,0.26716898120101007
0.006061,0.26716898120101007
0.006263,0.26716898120101007
0.006465,0.26716898120101007
0.006667,0.27132390661140526
0.006869,0.27132390661140526
0.007071,0.27132390661140526
0.007273,0.27132390661140526
0.007475,0.27132390661140526
0.0075,0.27132390661140526
0.007677,0.2705477798225764
0.007879,0.2705477798225764
0.008081,0.2705477798225764
0.008283,0.2705477798225764
0.008485,0.2705477798225764
0.008687,0.2685096575961159
0.008889,0.2685096575961159
0.009091,0.2685096575961159
0.009293,0.2685096575961159
0.009495,0.2685096575961159
0.009697,0.2754865309397452
0.009899,0.2754865309397452
0.01,0.2754865309397452
0.010101,0.2754865309397452
0.010303,0.2754865309397452
0.010505,0.2663407152936892
0.010707,0.2663407152936892
0.010909,0.2663407152936892
0.011,0.2663407152936892
0.011111,0.2663407152936892
0.011313,0.2663407152936892
0.012,0.2699193684315262
0.0125,0.2650986591816622
0.013,0.2650986591816622
0.014,0.2617553500874876
0.015,0.26831271179358884
0.016,0.2565547948484508
0.017,0.2562030078797042
0.018,0.26255920774732444
0.019,0.2512400685905569
0.02,0.24699667173059614
