Ez,Delta_ext_eV,Delta_sc_eV,P_phys_e_per_cell,Eg_sc_eV,Delta_minus_Delta_ext_eV
0.0,0.0,0.145244,0.0,0.12711733515136975,0.145244
0.001,0.00335,0.19323462939794733,0.16718235563877237,0.15563729628651568,0.18988462939794734
0.002,0.0067,0.2429455093917634,0.34080894538398865,0.1782432383613232,0.2362455093917634
0.003,0.01005,0.3070929316614571,0.568576306608348,0.199712146772836,0.2970429316614571
0.004,0.0134,0.41470760028392883,0.9600924733112883,0.22157282773568276,0.4013076002839288
0.005,0.01675,0.571364114455849,1.5350369275808249,0.2381835967600543,0.554614114455849
0.006,0.0201,0.6452997705015089,1.7975892234240138,0.24275574160747093,0.6251997705015089
0.007,0.023450000000000002,0.6833559795186829,1.9274128058779674,0.24463659034870738,0.6599059795186829
0.008,0.0268,0.7112513312141456,2.0193321190685216,0.24586057413309476,0.6844513312141456
0.009,0.03015,0.7337538001055467,2.0910579270247354,0.24674569353485107,0.7036038001055467
0.01,0.0335,0.7527845724976001,2.1497820998301003,0.2474418627745672,0.7192845724976001
0.011,0.03685,0.7693795200806005,2.199384637338625,0.24802390343153213,0.7325295200806005
0.012,0.0402,0.7841685329279362,2.2422232342803032,0.24849804297620015,0.7439685329279362
0.013,0.04355,0.797561508982714,2.2798338693089284,0.24891352547193846,0.7540115089827141
0.014,0.046900000000000004,0.8098424413376597,2.313280594673368,0.24928146445247157,0.7629424413376596
0.015,0.050249999999999996,0.8212182394958367,2.343336607917965,0.2496095040806131,0.7709682394958367
0.016,0.0536,0.8318408122359015,2.370572220227254,0.24990312843617268,0.7782408122359015
0.017,0.05695000000000001,0.8418278277818242,2.3954280151126532,0.2501642140974123,0.7848778277818241
0.018,0.0603,0.8512721406701436,2.418250863141411,0.25041161080168217,0.7909721406701435
0.019,0.06365,0.8602468180430487,2.439315159821421,0.2506337314333497,0.7965968180430487
0.02,0.067,0.8688117158771093,2.458845028759868,0.25084256093955903,0.8018117158771092
