Ez,bandgap_eV
0.0,3.585425460572722e-05
0.001,0.14165782251809578
0.002,0.2140456630806835
0.003,0.25874288333536755
0.004,0.25728519558104046
0.005,0.2814378123747401
0.006,0.27042231729060795
0.007,0.26727450723825186
0.008,0.2802571661813049
0.009,0.27838984555921353
0.01,0.26719615184699874
0.011,0.2737932391373603
0.012,0.2816303249828347
0.013,0.26436538733355297
0.014,0.26237224380362933
0.015,0.2738676307846888
0.016,0.2708878499911931
0.017,0.25650952060749566
0.018,0.25174481510806723
0.019,0.25461036282553207
0.02,0.26431957779404003
0.03,0.0
0.04,7.554165308335926
0.05,7.606757934370711
0.06,7.537424313831395
0.07,7.455642740506034
0.08,7.459366085053857
0.09,7.132646799518817
0.1,6.628870249409534
0.11,5.962136621329681
0.12,5.514870377715976
0.13,4.668970539399704
0.14,3.8778067913791894
0.15,3.363391928276351
0.16,2.5966384828059557
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.2,0.0
0.3,4.547622949526791
0.4,4.439322090564314
0.5,3.9573520349683946
