      Step     Time          Energy          fmax
BFGS:    0 15:13:06     -144.143626        1.672520
BFGS:    1 15:17:50     -144.168112        0.929055
BFGS:    2 15:21:43     -144.188390        0.308829
BFGS:    3 15:24:43     -144.194220        0.255589
BFGS:    4 15:28:48     -144.214804        0.466507
BFGS:    5 15:33:23     -144.232517        0.423349
BFGS:    6 15:38:37     -144.247937        0.345644
BFGS:    7 15:42:59     -144.256892        0.243752
BFGS:    8 15:47:49     -144.263797        0.192328
BFGS:    9 16:54:27     -144.267172        0.166413
BFGS:   10 16:58:07     -144.268846        0.068591
BFGS:   11 17:01:20     -144.269184        0.038634
BFGS:   12 17:03:30     -144.269235        0.016724
