      Step     Time          Energy          fmax
BFGS:    0 19:11:33      -97.724968        1.687145
BFGS:    1 19:33:08      -97.782893        1.023189
BFGS:    2 19:50:19      -97.845903        0.803606
BFGS:    3 20:18:46      -98.097872        0.879300
BFGS:    4 20:37:35      -98.161082        0.956949
BFGS:    5 20:59:51      -98.216780        0.326877
BFGS:    6 21:19:28      -98.230034        0.298813
BFGS:    7 21:37:59      -98.235262        0.155411
BFGS:    8 21:55:42      -98.236368        0.043616
