      Step     Time          Energy          fmax
BFGS:    0 02:55:03     -115.944754        1.697560
BFGS:    1 03:00:43     -115.976862        0.750481
BFGS:    2 03:04:49     -115.991979        0.127273
BFGS:    3 03:08:31     -115.992864        0.071980
BFGS:    4 03:11:55     -115.993715        0.074215
BFGS:    5 03:15:15     -115.994201        0.099531
BFGS:    6 03:19:00     -115.994806        0.092790
BFGS:    7 03:21:59     -115.995290        0.062449
BFGS:    8 03:24:55     -115.996007        0.057404
BFGS:    9 03:27:51     -115.996285        0.032625
BFGS:   10 03:30:10     -115.996340        0.014791
